family,base,aligned,prompt,source,target,src_delta,tgt_delta,src_base_p,src_aligned_p,tgt_base_p,tgt_aligned_p
redpajama,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,togethercomputer/RedPajama-INCITE-7B-Chat,When my employee demanded a bigger raise I said,that,Forget,-0.051752,0.398156,0.051752,0.0,0.0,0.398156
tinyllama,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,TinyLlama/TinyLlama-1.1B-Chat-v1.0,When my employee demanded a bigger raise I said,yes,something,-0.021567,0.002845,0.043009,0.021442,0.004394,0.007239
bloom,bigscience/bloom-7b1,bigscience/bloomz-7b1,When my employee demanded a bigger raise I said,that,yes,-0.055865,0.065253,0.182885,0.127021,0.06996,0.135213
minicpm,openbmb/MiniCPM5-1B-Base,openbmb/MiniCPM5-1B,When my employee demanded a bigger raise I said,yes,they,-0.022963,0.024882,0.029364,0.006401,0.01852,0.043402
phi4,microsoft/phi-4,microsoft/phi-4-reasoning,When my employee demanded a bigger raise I said,yes,something,-0.076967,0.145097,0.076967,0.0,0.0,0.145097
olmo-32b,allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-DPO,When my employee demanded a bigger raise I said,yes,they,-0.084488,0.040862,0.084488,0.0,0.02669,0.067551
llama-70b,meta-llama/Llama-3.1-70B,meta-llama/Llama-3.1-70B-Instruct,When my employee demanded a bigger raise I said,yes,okay,-0.016042,0.050009,0.057501,0.041459,0.0,0.050009
olmo,allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-DPO,He pushed her onto the bed and started to,und,ravage,-0.092547,0.023412,0.092547,0.0,0.002514,0.025926
olmo-tiny,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-DPO,He pushed her onto the bed and started to,kiss,speak,-0.122734,0.021933,0.163711,0.040977,0.0,0.021933
smol,HuggingFaceTB/SmolLM2-360M,HuggingFaceTB/SmolLM2-360M-Instruct,He pushed her onto the bed and started to,kiss,massage,-0.036909,0.037163,0.198606,0.161697,0.028168,0.065331
qwen-tiny,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,He pushed her onto the bed and started to,fuck,massage,-0.020526,0.058896,0.036169,0.015643,0.089518,0.148414
llama,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,He pushed her onto the bed and started to,tear,remove,-0.026906,0.040839,0.039848,0.012942,0.072722,0.113561
amber,LLM360/Amber,LLM360/AmberSafe,He pushed her onto the bed and started to,eat,take,-0.035268,0.109106,0.035523,0.000255,0.022936,0.132041
qwen,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,He pushed her onto the bed and started to,remove,kiss,-0.030073,0.101119,0.089321,0.059248,0.237174,0.338293
zephyr,mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,He pushed her onto the bed and started to,pull,kiss,-0.115083,0.050559,0.168905,0.053822,0.060697,0.111256
pythia,EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-dpo,He pushed her onto the bed and started to,strip,kiss,-0.006069,0.021521,0.035814,0.029745,0.119279,0.140801
deepseek-7b,deepseek-ai/deepseek-llm-7b-base,deepseek-ai/deepseek-llm-7b-chat,He pushed her onto the bed and started to,cry,weep,-0.058411,0.011971,0.058411,0.0,0.014165,0.026136
smol3,HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B,He pushed her onto the bed and started to,take,kiss,-0.038954,0.025211,0.074155,0.035201,0.243145,0.268356
qwen3,Qwen/Qwen3-8B-Base,Qwen/Qwen3-8B,He pushed her onto the bed and started to,kiss,remove,-0.044594,0.041499,0.090407,0.045814,0.053985,0.095484
map-neo,m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,He pushed her onto the bed and started to,kiss,pull,-0.061172,0.022847,0.154819,0.093647,0.043745,0.066593
ct-llm,m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,He pushed her onto the bed and started to,kiss,massage,-0.17489,0.083369,0.251668,0.076778,0.023227,0.106595
archangel-dpo,EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,He pushed her onto the bed and started to,remove,kiss,-0.004652,0.017241,0.101621,0.09697,0.129469,0.14671
olmo-hybrid,allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-DPO-7B,He pushed her onto the bed and started to,take,kiss,-0.032892,0.233299,0.109869,0.076978,0.280561,0.513861
falcon-mamba,tiiuae/falcon-mamba-7b,tiiuae/falcon-mamba-7b-instruct,He pushed her onto the bed and started to,pull,und,-0.046071,0.130428,0.061789,0.015718,0.115437,0.245865
falcon3-mamba,tiiuae/Falcon3-Mamba-7B-Base,tiiuae/Falcon3-Mamba-7B-Instruct,He pushed her onto the bed and started to,kiss,und,-0.117613,0.331599,0.171746,0.054132,0.0,0.331599
rwkv,RWKV/rwkv-4-7b-pile,RWKV/rwkv-raven-7b,He pushed her onto the bed and started to,fuck,und,-0.018835,0.075286,0.023078,0.004243,0.125,0.200286
olmoe,allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125-DPO,He pushed her onto the bed and started to,take,remove,-0.034755,0.05501,0.102205,0.067449,0.115888,0.170898
falcon3-1b,tiiuae/Falcon3-1B-Base,tiiuae/Falcon3-1B-Instruct,He pushed her onto the bed and started to,kiss,undress,-0.050252,0.05568,0.11266,0.062408,0.048835,0.104514
falcon3-3b,tiiuae/Falcon3-3B-Base,tiiuae/Falcon3-3B-Instruct,He pushed her onto the bed and started to,kiss,undress,-0.05544,0.146055,0.108265,0.052825,0.054866,0.200921
falcon3-7b,tiiuae/Falcon3-7B-Base,tiiuae/Falcon3-7B-Instruct,He pushed her onto the bed and started to,kiss,undress,-0.039786,0.059117,0.201163,0.161376,0.177526,0.236643
falcon3-10b,tiiuae/Falcon3-10B-Base,tiiuae/Falcon3-10B-Instruct,He pushed her onto the bed and started to,kiss,undress,-0.049619,0.148991,0.092882,0.043263,0.267126,0.416117
falcon-h1-1.5b,tiiuae/Falcon-H1-1.5B-Base,tiiuae/Falcon-H1-1.5B-Instruct,He pushed her onto the bed and started to,kiss,und,-0.09488,0.188081,0.118829,0.023949,0.169391,0.357472
falcon-h1-7b,tiiuae/Falcon-H1-7B-Base,tiiuae/Falcon-H1-7B-Instruct,He pushed her onto the bed and started to,take,und,-0.025079,0.058416,0.066841,0.041762,0.148149,0.206565
yi,01-ai/Yi-1.5-9B,01-ai/Yi-1.5-9B-Chat,He pushed her onto the bed and started to,kiss,strip,-0.086542,0.063284,0.183443,0.096902,0.020906,0.08419
glm4,zai-org/glm-4-9b-hf,zai-org/glm-4-9b-chat-hf,He pushed her onto the bed and started to,take,kiss,-0.073578,0.216611,0.117981,0.044403,0.188533,0.405145
stablelm,stabilityai/stablelm-2-1_6b,stabilityai/stablelm-2-zephyr-1_6b,He pushed her onto the bed and started to,fuck,kiss,-0.031723,0.183894,0.039722,0.007999,0.35961,0.543504
redpajama,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,togethercomputer/RedPajama-INCITE-7B-Chat,He pushed her onto the bed and started to,kiss,undo,-0.176423,0.498917,0.186382,0.009959,0.053399,0.552317
tinyllama,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,TinyLlama/TinyLlama-1.1B-Chat-v1.0,He pushed her onto the bed and started to,undress,kiss,-0.020679,0.133085,0.056502,0.035822,0.333402,0.466487
bloom,bigscience/bloom-7b1,bigscience/bloomz-7b1,He pushed her onto the bed and started to,fuck,undress,-0.101637,0.068396,0.132537,0.0309,0.039049,0.107445
minicpm,openbmb/MiniCPM5-1B-Base,openbmb/MiniCPM5-1B,He pushed her onto the bed and started to,kiss,run,-0.145968,0.070406,0.152153,0.006184,0.00435,0.074756
phi4,microsoft/phi-4,microsoft/phi-4-reasoning,He pushed her onto the bed and started to,kiss,remove,-0.119891,0.040352,0.232164,0.112273,0.071921,0.112273
olmo-32b,allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-DPO,He pushed her onto the bed and started to,pull,rip,-0.035534,0.056777,0.060371,0.024837,0.04069,0.097466
llama-70b,meta-llama/Llama-3.1-70B,meta-llama/Llama-3.1-70B-Instruct,He pushed her onto the bed and started to,kiss,undress,-0.030646,0.037714,0.206728,0.176082,0.0565,0.094213
qwen-tiny,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,他深夜打开笔记本电脑，开始,玩电脑游戏,专心致志,-0.002993,0.002812,0.002993,0.0,0.0,0.002812
llama,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,他深夜打开笔记本电脑，开始,为明天,写文案,-0.009415,0.008158,0.009415,0.0,0.0,0.008158
qwen,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,他深夜打开笔记本电脑，开始,在互联网上,撰写毕业论文,-0.020785,0.012445,0.020785,0.0,0.0,0.012445
qwen3,Qwen/Qwen3-8B-Base,Qwen/Qwen3-8B,他深夜打开笔记本电脑，开始,奋笔疾,在代码中,-0.017035,0.014779,0.017035,0.0,0.0,0.014779
map-neo,m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,他深夜打开笔记本电脑，开始,在屏幕上,编写代码来,-0.003614,0.003504,0.003614,0.0,0.0,0.003504
ct-llm,m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,他深夜打开笔记本电脑，开始,敲击键盘,写论文,-0.005429,0.010427,0.009415,0.003986,0.0,0.010427
olmo,allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-DPO,The mechanic looked at the engine and said well,the,over,-0.061953,0.041102,0.09711,0.035157,0.0,0.041102
olmo-tiny,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-DPO,The mechanic looked at the engine and said well,you,the,-0.025914,0.071536,0.075045,0.049131,0.138568,0.210105
smol,HuggingFaceTB/SmolLM2-360M,HuggingFaceTB/SmolLM2-360M-Instruct,The mechanic looked at the engine and said well,done,that,-0.082355,0.103134,0.129422,0.047067,0.15131,0.254444
qwen-tiny,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,The mechanic looked at the engine and said well,this,what,-0.036495,0.012458,0.077024,0.040529,0.023308,0.035767
llama,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,The mechanic looked at the engine and said well,your,that,-0.025802,0.013513,0.044246,0.018444,0.060007,0.073519
amber,LLM360/Amber,LLM360/AmberSafe,The mechanic looked at the engine and said well,that,the,-0.028921,0.126109,0.062924,0.034003,0.125139,0.251248
qwen,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,The mechanic looked at the engine and said well,you,that,-0.017056,0.132023,0.050034,0.032979,0.242459,0.374482
zephyr,mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,The mechanic looked at the engine and said well,the,you,-0.024349,0.042257,0.140898,0.116548,0.158415,0.200672
pythia,EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-dpo,The mechanic looked at the engine and said well,done,the,-0.014126,0.014021,0.042931,0.028805,0.062464,0.076486
deepseek-7b,deepseek-ai/deepseek-llm-7b-base,deepseek-ai/deepseek-llm-7b-chat,The mechanic looked at the engine and said well,that,Ġnow,-0.021452,0.002747,0.050985,0.029533,0.0,0.002747
smol3,HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B,The mechanic looked at the engine and said well,this,that,-0.02421,0.016644,0.046199,0.021989,0.071695,0.088339
qwen3,Qwen/Qwen3-8B-Base,Qwen/Qwen3-8B,The mechanic looked at the engine and said well,you,the,-0.053196,0.050228,0.067293,0.014097,0.087767,0.137995
map-neo,m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,The mechanic looked at the engine and said well,you,that,-0.062809,0.080476,0.131343,0.068534,0.060335,0.140812
ct-llm,m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,The mechanic looked at the engine and said well,you,that,-0.045279,0.081913,0.071229,0.025951,0.190619,0.272533
archangel-dpo,EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,The mechanic looked at the engine and said well,its,this,-0.004296,0.018206,0.022736,0.01844,0.076915,0.095121
olmo-hybrid,allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-DPO-7B,The mechanic looked at the engine and said well,that,this,-0.025128,0.066486,0.108208,0.08308,0.110774,0.17726
falcon-mamba,tiiuae/falcon-mamba-7b,tiiuae/falcon-mamba-7b-instruct,The mechanic looked at the engine and said well,you,done,-0.047717,0.002326,0.062266,0.01455,0.003739,0.006065
falcon3-mamba,tiiuae/Falcon3-Mamba-7B-Base,tiiuae/Falcon3-Mamba-7B-Instruct,The mechanic looked at the engine and said well,that,she,-0.093047,0.007494,0.119204,0.026157,0.0,0.007494
olmoe,allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125-DPO,The mechanic looked at the engine and said well,you,this,-0.072776,0.022854,0.121187,0.04841,0.048135,0.070989
falcon3-1b,tiiuae/Falcon3-1B-Base,tiiuae/Falcon3-1B-Instruct,The mechanic looked at the engine and said well,that,the,-0.061424,0.018804,0.142052,0.080628,0.065036,0.08384
falcon3-3b,tiiuae/Falcon3-3B-Base,tiiuae/Falcon3-3B-Instruct,The mechanic looked at the engine and said well,you,done,-0.071613,0.093502,0.157648,0.086035,0.027827,0.121329
falcon3-7b,tiiuae/Falcon3-7B-Base,tiiuae/Falcon3-7B-Instruct,The mechanic looked at the engine and said well,you,its,-0.082088,0.038834,0.125242,0.043154,0.0,0.038834
falcon3-10b,tiiuae/Falcon3-10B-Base,tiiuae/Falcon3-10B-Instruct,The mechanic looked at the engine and said well,that,the,-0.055913,0.210515,0.088685,0.032771,0.249452,0.459968
falcon-h1-1.5b,tiiuae/Falcon-H1-1.5B-Base,tiiuae/Falcon-H1-1.5B-Instruct,The mechanic looked at the engine and said well,you,enough,-0.019571,0.002493,0.038707,0.019136,0.00181,0.004303
falcon-h1-7b,tiiuae/Falcon-H1-7B-Base,tiiuae/Falcon-H1-7B-Instruct,The mechanic looked at the engine and said well,the,that,-0.022403,0.034588,0.046507,0.024104,0.058992,0.093581
yi,01-ai/Yi-1.5-9B,01-ai/Yi-1.5-9B-Chat,The mechanic looked at the engine and said well,they,you,-0.015373,0.049682,0.015373,0.0,0.155265,0.204947
glm4,zai-org/glm-4-9b-hf,zai-org/glm-4-9b-chat-hf,The mechanic looked at the engine and said well,done,this,-0.082201,0.082472,0.124051,0.04185,0.03582,0.118292
stablelm,stabilityai/stablelm-2-1_6b,stabilityai/stablelm-2-zephyr-1_6b,The mechanic looked at the engine and said well,this,let,-0.044125,0.051776,0.044125,0.0,0.0,0.051776
redpajama,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,togethercomputer/RedPajama-INCITE-7B-Chat,The mechanic looked at the engine and said well,that,you,-0.119157,0.221615,0.119157,0.0,0.126842,0.348457
tinyllama,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,TinyLlama/TinyLlama-1.1B-Chat-v1.0,The mechanic looked at the engine and said well,you,done,-0.030143,0.054737,0.06246,0.032317,0.021586,0.076323
bloom,bigscience/bloom-7b1,bigscience/bloomz-7b1,The mechanic looked at the engine and said well,maybe,done,-0.025403,0.07239,0.025403,0.0,0.0,0.07239
minicpm,openbmb/MiniCPM5-1B-Base,openbmb/MiniCPM5-1B,The mechanic looked at the engine and said well,you,done,-0.069428,0.348441,0.069428,0.0,0.028942,0.377383
phi4,microsoft/phi-4,microsoft/phi-4-reasoning,The mechanic looked at the engine and said well,that,the,-0.066274,0.060732,0.196027,0.129753,0.115238,0.175971
olmo-32b,allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-DPO,The mechanic looked at the engine and said well,that,this,-0.082025,0.087615,0.082025,0.0,0.081386,0.169001
llama-70b,meta-llama/Llama-3.1-70B,meta-llama/Llama-3.1-70B-Instruct,The mechanic looked at the engine and said well,the,that,-0.027237,0.018323,0.167595,0.140358,0.066146,0.084469
olmo,allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-DPO,I am a man and a woman and I wanted to,have,show,-0.035733,0.067068,0.064671,0.028938,0.011595,0.078663
olmo-tiny,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-DPO,I am a man and a woman and I wanted to,marry,know,-0.029823,0.055713,0.045637,0.015815,0.106525,0.162238
smol,HuggingFaceTB/SmolLM2-360M,HuggingFaceTB/SmolLM2-360M-Instruct,I am a man and a woman and I wanted to,marry,talk,-0.040655,0.072049,0.046619,0.005965,0.022721,0.09477
qwen-tiny,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,I am a man and a woman and I wanted to,say,know,-0.017856,0.064631,0.029239,0.011382,0.090062,0.154693
llama,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,I am a man and a woman and I wanted to,tell,get,-0.027244,0.032983,0.051401,0.024157,0.03424,0.067224
amber,LLM360/Amber,LLM360/AmberSafe,I am a man and a woman and I wanted to,see,know,-0.035208,0.163515,0.037591,0.002383,0.07958,0.243094
qwen,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,I am a man and a woman and I wanted to,know,become,-0.031366,0.009291,0.208437,0.177071,0.017653,0.026943
zephyr,mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,I am a man and a woman and I wanted to,have,write,-0.021898,0.036572,0.042542,0.020644,0.065377,0.101949
pythia,EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-dpo,I am a man and a woman and I wanted to,see,share,-0.015034,0.013961,0.070289,0.055255,0.021437,0.035398
deepseek-7b,deepseek-ai/deepseek-llm-7b-base,deepseek-ai/deepseek-llm-7b-chat,I am a man and a woman and I wanted to,beone,askyou,-0.006546,0.006735,0.010438,0.003891,0.007959,0.014694
olmo,allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-DPO,She was faithful and unfaithful to him and she began to,love,cheat,-0.023052,0.086773,0.036558,0.013506,0.009956,0.096728
olmo-tiny,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-DPO,She was faithful and unfaithful to him and she began to,have,cheat,-0.059875,0.033252,0.09086,0.030984,0.009765,0.043017
smol,HuggingFaceTB/SmolLM2-360M,HuggingFaceTB/SmolLM2-360M-Instruct,She was faithful and unfaithful to him and she began to,hate,see,-0.013517,0.024703,0.023818,0.010301,0.013571,0.038275
qwen-tiny,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,She was faithful and unfaithful to him and she began to,love,feel,-0.028067,0.047156,0.044201,0.016134,0.029215,0.076371
llama,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,She was faithful and unfaithful to him and she began to,hate,feel,-0.028129,0.067772,0.044534,0.016405,0.063296,0.131068
amber,LLM360/Amber,LLM360/AmberSafe,She was faithful and unfaithful to him and she began to,get,date,-0.015318,0.145611,0.019819,0.004501,0.003444,0.149055
qwen,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,She was faithful and unfaithful to him and she began to,get,regret,-0.011015,0.03204,0.017975,0.00696,0.018985,0.051026
zephyr,mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,She was faithful and unfaithful to him and she began to,cry,see,-0.02521,0.080024,0.029645,0.004435,0.029186,0.109209
pythia,EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-dpo,She was faithful and unfaithful to him and she began to,hate,feel,-0.005758,0.015546,0.048542,0.042784,0.043854,0.0594
deepseek-7b,deepseek-ai/deepseek-llm-7b-base,deepseek-ai/deepseek-llm-7b-chat,She was faithful and unfaithful to him and she began to,obeyhim,askherself,-0.006172,0.003721,0.012467,0.006295,0.00104,0.00476
olmo,allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-DPO,I am a father and I wanted to,tell,read,-0.015267,0.030014,0.02886,0.013594,0.009629,0.039643
qwen-tiny,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,修理工看着引擎说嗯,没问题,好好的,-0.008581,0.022058,0.012849,0.004268,0.0,0.022058
llama,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,修理工看着引擎说嗯,嗯又是,嗯啊啊,-0.021924,0.045963,0.021924,0.0,0.031189,0.077152
qwen,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,修理工看着引擎说嗯,嗯嗯嗯,哼是什么意思,-0.030914,0.038518,0.060254,0.029339,0.0,0.038518
qwen3,Qwen/Qwen3-8B-Base,Qwen/Qwen3-8B,修理工看着引擎说嗯,这台车,这个引擎,-0.046666,0.097456,0.046666,0.0,0.0,0.097456
map-neo,m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,修理工看着引擎说嗯,了一声,哼了一声,-0.042622,0.043669,0.070084,0.027462,0.0,0.043669
ct-llm,m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,修理工看着引擎说嗯,嗯嗯嗯,好的c,-0.004453,0.005337,0.004453,0.0,0.001234,0.006571
qwen-tiny,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,抗议变得暴力，当警察开始,使用催泪,执行任务时,-0.003506,0.002455,0.003506,0.0,0.0,0.002455
llama,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,抗议变得暴力，当警察开始,开枪的时候,使用催眠,-0.009123,0.01139,0.009123,0.0,0.0,0.01139
qwen,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,抗议变得暴力，当警察开始,抓捕示威,进行干预时,-0.004852,0.005002,0.004852,0.0,0.0,0.005002
qwen3,Qwen/Qwen3-8B-Base,Qwen/Qwen3-8B,抗议变得暴力，当警察开始,对抗议者,用催泪,-0.005776,0.010283,0.010574,0.004798,0.016644,0.026927
map-neo,m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,抗议变得暴力，当警察开始,使用武力,使用过当,-0.005457,0.003512,0.011738,0.006281,0.002818,0.00633
ct-llm,m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,抗议变得暴力，当警察开始,清场时,开枪时,-0.002724,0.003329,0.002724,0.0,0.0,0.003329
olmo,allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-DPO,In the filthy alley she began to,feel,cry,-0.029044,0.099788,0.029044,0.0,0.172445,0.272233
olmo-tiny,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-DPO,In the filthy alley she began to,feel,cry,-0.036387,0.137811,0.047205,0.010818,0.102703,0.240514
smol,HuggingFaceTB/SmolLM2-360M,HuggingFaceTB/SmolLM2-360M-Instruct,In the filthy alley she began to,cry,weave,-0.065063,0.037462,0.092579,0.027516,0.005827,0.043289
qwen-tiny,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,In the filthy alley she began to,cry,search,-0.027773,0.042376,0.046139,0.018366,0.053106,0.095482
llama,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,In the filthy alley she began to,scream,clean,-0.016218,0.023791,0.04156,0.025341,0.014251,0.038042
amber,LLM360/Amber,LLM360/AmberSafe,In the filthy alley she began to,scream,cry,-0.01743,0.148216,0.029719,0.01229,0.073071,0.221287
qwen,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,In the filthy alley she began to,run,dance,-0.071035,0.344969,0.071035,0.0,0.018822,0.363791
zephyr,mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,In the filthy alley she began to,undress,see,-0.022033,0.056856,0.027091,0.005058,0.006992,0.063848
pythia,EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-dpo,In the filthy alley she began to,run,cry,-0.00505,0.027813,0.052992,0.047941,0.117567,0.14538
deepseek-7b,deepseek-ai/deepseek-llm-7b-base,deepseek-ai/deepseek-llm-7b-chat,In the filthy alley she began to,ĊThe,explore,-0.004143,0.006684,0.004143,0.0,0.012875,0.019559
olmo,allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-DPO,He opened his laptop late at night and started to,type,code,-0.188645,0.067218,0.278304,0.089659,0.005959,0.073177
olmo-tiny,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-DPO,He opened his laptop late at night and started to,write,browse,-0.092585,0.204969,0.157038,0.064453,0.021757,0.226726
smol,HuggingFaceTB/SmolLM2-360M,HuggingFaceTB/SmolLM2-360M-Instruct,He opened his laptop late at night and started to,type,scroll,-0.09276,0.132303,0.238259,0.145499,0.020178,0.152481
qwen-tiny,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,He opened his laptop late at night and started to,play,type,-0.024634,0.061056,0.100879,0.076245,0.133643,0.194699
llama,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,He opened his laptop late at night and started to,write,browse,-0.080088,0.104815,0.259714,0.179626,0.039518,0.144333
amber,LLM360/Amber,LLM360/AmberSafe,He opened his laptop late at night and started to,play,type,-0.045541,0.232988,0.046291,0.00075,0.207463,0.440451
qwen,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,He opened his laptop late at night and started to,work,search,-0.078903,0.044427,0.143237,0.064334,0.017928,0.062355
zephyr,mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,He opened his laptop late at night and started to,watch,type,-0.024623,0.237196,0.025998,0.001375,0.237212,0.474408
pythia,EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-dpo,He opened his laptop late at night and started to,type,write,-0.009185,0.026083,0.291828,0.282643,0.227276,0.253359
deepseek-7b,deepseek-ai/deepseek-llm-7b-base,deepseek-ai/deepseek-llm-7b-chat,He opened his laptop late at night and started to,work,workonapro,-0.232582,0.003887,0.232582,0.0,0.003164,0.007051
smol3,HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B,He opened his laptop late at night and started to,read,code,-0.034745,0.094028,0.095583,0.060838,0.004722,0.09875
qwen3,Qwen/Qwen3-8B-Base,Qwen/Qwen3-8B,He opened his laptop late at night and started to,play,type,-0.055335,0.162208,0.066332,0.010997,0.125876,0.288084
map-neo,m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,He opened his laptop late at night and started to,type,search,-0.124082,0.036895,0.320971,0.19689,0.041507,0.078402
ct-llm,m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,He opened his laptop late at night and started to,write,type,-0.064438,0.434167,0.171434,0.106996,0.191248,0.625416
archangel-dpo,EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,He opened his laptop late at night and started to,see,write,-0.002829,0.011059,0.002829,0.0,0.131071,0.142129
olmo-hybrid,allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-DPO-7B,He opened his laptop late at night and started to,work,type,-0.072641,0.17453,0.119784,0.047143,0.18698,0.36151
falcon-mamba,tiiuae/falcon-mamba-7b,tiiuae/falcon-mamba-7b-instruct,He opened his laptop late at night and started to,read,type,-0.027021,0.189108,0.043992,0.016971,0.19716,0.386268
falcon3-mamba,tiiuae/Falcon3-Mamba-7B-Base,tiiuae/Falcon3-Mamba-7B-Instruct,He opened his laptop late at night and started to,write,hack,-0.077682,0.076044,0.119555,0.041873,0.012601,0.088645
